"full_name","e","q","i","om","w","ad","tp_cal","per_y","class","data_arc","condition_code","n_obs_used","two_body","A1","A2","A3","DT"
"  268P/Bernardi",0.4802,2.350,15.66,129.22,358.20,6.69,2005-08-14.0,9.61,JFc,4182,0,74,,,,,
"  269P/Jedicke",0.4347,4.077,6.61,248.99,223.92,10.35,2014-11-25.9,19.4,JFc,8561,0,904,,,,,
"  270P/Gehrels",0.4676,3.595,2.86,225.68,211.48,9.91,2013-07-18.5,17.5,JFc,6264,0,381,,,,,
"  271P/van Houten-Lemmon",0.3907,4.250,6.86,9.59,35.09,9.70,2013-07-05.5,18.4,JFc,19841,1,96,,,,,
"  272P/NEAT",0.4565,2.416,18.19,111.52,26.20,6.48,2013-03-01.7,9.37,JFc,7015,0,189,,,,,
"  273P/Pons-Gambart",0.9753,0.810,136.40,320.43,20.19,64.85,2012-12-19.6,188,HTC,68223,3,1140,,4.4e-10,7.7e-10,,
"  274P/Tombaugh-Tenagra",0.4397,2.445,15.83,81.37,38.59,6.28,2013-02-23.5,9.12,JFc,33732,0,915,,,,,
"  275P/Hermann",0.7139,1.649,21.57,349.27,173.14,9.88,1999-02-19.9,13.8,JFc,5145,0,155,,,,,
"  276P/Vorobjov",0.2673,3.897,14.81,211.39,199.67,6.74,2024-12-14.9,12.3,JFc,8730,0,764,,,,,
"  277P/LINEAR",0.5038,1.914,16.75,276.35,152.18,5.80,2013-06-04.8,7.58,JFc,5663,1,828,,1.3e-08,-4.0e-10,,
"  278P/McNaught",0.4334,2.096,6.68,15.49,237.92,5.30,2013-08-02.4,7.12,JFc,5591,0,519,,,,,
"  279P/La Sagra",0.3979,2.153,5.05,346.28,6.02,5.00,2009-10-09.8,6.76,JFc,7845,0,290,,,,,
"  280P/Larsen",0.4177,2.628,11.78,131.49,104.86,6.40,2013-12-11.2,9.59,JFc,6948,0,166,,,,,
"  281P/MOSS",0.1734,4.014,4.72,87.17,26.42,5.70,2012-05-12.4,10.7,JFc,8130,1,101,,,,,
"  283P/Spacewatch",0.4857,2.126,14.46,161.25,22.00,6.14,2013-04-06.9,8.41,JFc,6382,1,114,,,,,
"  284P/McNaught",0.3757,2.293,11.86,144.29,202.77,5.05,2021-09-14.2,7.04,JFc,3931,0,1370,,4.6e-09,2.7e-09,,
"  285P/LINEAR",0.6179,1.723,25.02,185.48,178.40,7.30,2023-01-12.8,9.58,JFc,7052,0,933,,5.7e-09,1.4e-09,1.8e-09,-139
"  286P/Christensen",0.4242,2.370,17.04,283.95,24.69,5.86,2022-05-13.4,8.35,JFc,6389,0,470,,,,,
"  287P/Christensen",0.2708,3.040,16.32,139.04,188.83,5.30,2023-07-05.1,8.51,JFc,4179,0,243,,4.6e-07,8.0e-08,-5.6e-07,-38.9
"  289P/Blanpain",0.6851,0.959,5.90,68.92,9.85,5.13,2019-12-20.9,5.31,JFc,4029,1,350,,,,,
"  290P/Jager",0.6470,2.154,19.07,303.49,180.92,10.05,2014-03-14.9,15.1,JFc,6026,0,3749,,-2.2e-08,7.7e-09,-8.7e-09,
"  291P/NEAT",0.4305,2.591,5.96,241.04,176.03,6.51,2013-12-15.3,9.71,JFc,7522,1,950,,3.6e-08,-1.1e-09,,-224
"  292P/Li",0.5868,2.535,24.32,91.86,318.85,9.73,2014-02-06.3,15.2,JFc,7152,0,498,,,,,
"  293P/Spacewatch",0.4197,2.112,9.06,78.44,41.15,5.17,2014-01-10.2,6.94,JFc,5666,2,463,,-6.8e-10,-5.7e-11,,
"  294P/LINEAR",0.5986,1.282,18.54,314.34,234.17,5.11,2008-06-16.6,5.71,JFc,4598,0,233,,,,,
"  295P/LINEAR",0.6147,2.059,21.10,7.69,73.36,8.63,2002-01-09.5,12.4,JFc,4791,0,82,,,,,
